,title,rating,categories,description,keyword
38,Source Code,7.5,"['Action', 'Drama', 'Mystery']",A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.,alternate history
39,Back to the Future Part III,7.4,"['Adventure', 'Comedy', 'Sci-Fi']","Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.",alternate history
40,Minions,6.4,"['Animation', 'Adventure', 'Comedy']","Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.",alternate history
41,Counterpart,8.1,"['Drama', 'Sci-Fi', 'Thriller']","A hapless UN employee discovers that the agency he works for is hiding a gateway to a parallel dimension that's in a cold war with our own, and where his other self is a top spy. The war slowly heats up thanks to spies from both sides.",alternate history
42,Akira,8.0,"['Animation', 'Action', 'Drama']","A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",alternate history
43,Dogma,7.3,"['Adventure', 'Comedy', 'Drama']",An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.,alternate history
44,Conan the Barbarian,6.9,"['Action', 'Adventure', 'Fantasy']","A young boy, Conan, becomes a slave after his parents are killed and tribe destroyed by a savage warlord and sorcerer, Thulsa Doom. When he grows up he becomes a fearless, invincible fighter. Set free, he plots revenge against Thulsa Doom.",alternate history
45,Bill & Ted's Excellent Adventure,7.0,"['Adventure', 'Comedy', 'Music']",Two seemingly dumb teens set off on a quest to prepare the ultimate historical presentation with the help of a time machine.,alternate history
46,Conan the Barbarian,5.2,"['Action', 'Adventure', 'Fantasy']",A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,alternate history
47,Shakespeare in Love,7.1,"['Comedy', 'Drama', 'History']","The world's greatest ever playwright, <a href=""/name/nm0000636"">William Shakespeare</a>, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays.",alternate history
48,Terminator 3: La rebelión de las máquinas,6.3,"['Action', 'Sci-Fi']",A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack.,alternate history
49,Demolition Man,6.7,"['Action', 'Sci-Fi', 'Thriller']",A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,alternate history
0,Spectre,6.8,"['Action', 'Adventure', 'Thriller']","A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.",ambiguous ending
1,Guasón,8.4,"['Crime', 'Drama', 'Thriller']","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",ambiguous ending
2,Interestelar,8.6,"['Adventure', 'Drama', 'Sci-Fi']",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,ambiguous ending
3,Rápidos y furiosos 9,5.2,"['Action', 'Adventure', 'Crime']",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,ambiguous ending
4,The Dark Knight,9.0,"['Action', 'Crime', 'Drama']","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",ambiguous ending
5,Titanic,7.8,"['Drama', 'Romance']","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",ambiguous ending
6,Intriga,8.1,"['Crime', 'Drama', 'Mystery']","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",ambiguous ending
7,El imperio de la brujería,5.0,"['Horror', 'Mystery', 'Sci-Fi']",Kids all over America want Silver Shamrock masks for Halloween. Doctor Daniel Challis seeks to uncover a plot by Silver Shamrock owner Conal Cochran.,ambiguous ending
8,The Shining,8.4,"['Drama', 'Horror']","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",ambiguous ending
9,Nadie,7.4,"['Action', 'Crime', 'Drama']","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him going to a bloody war with a Russian crime boss.",ambiguous ending
10,Doctor Sueño,7.3,"['Drama', 'Fantasy', 'Horror']","Years following the events of <a href=""/title/tt0081505"">The Shining</a> (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",ambiguous ending
11,El origen,8.8,"['Action', 'Adventure', 'Sci-Fi']","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",ambiguous ending
12,El enigma de otro mundo,8.1,"['Horror', 'Mystery', 'Sci-Fi']",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,ambiguous ending
13,American Psycho,7.6,"['Comedy', 'Crime', 'Drama']","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",ambiguous ending
14,Ghost Ship,5.5,['Horror'],"A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board.",ambiguous ending
15,Avengers: Infinity War,8.4,"['Action', 'Adventure', 'Sci-Fi']",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,ambiguous ending
16,Kaubôi bibappu,8.9,"['Animation', 'Action', 'Adventure']",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,ambiguous ending
17,Batoru rowaiaru,7.6,"['Action', 'Adventure', 'Drama']","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",ambiguous ending
18,The Prestige,8.5,"['Drama', 'Mystery', 'Sci-Fi']","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",ambiguous ending
19,Whiplash - Música y obsesión,8.5,"['Drama', 'Music']",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,ambiguous ending
20,Érase una vez en América,8.3,"['Crime', 'Drama']","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",ambiguous ending
21,A Clockwork Orange,8.3,"['Crime', 'Drama', 'Sci-Fi']","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",ambiguous ending
22,Grave,7.0,"['Drama', 'Horror']","A young woman, studying to be a vet, develops a craving for human flesh.",ambiguous ending
23,Shutter Island,8.2,"['Mystery', 'Thriller']","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",ambiguous ending
24,Army of the Dead,5.8,"['Action', 'Crime', 'Horror']","Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",ambiguous ending
25,Operación Red Sparrow,6.6,"['Action', 'Drama', 'Thriller']","Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.",ambiguous ending
26,The Descent,7.2,"['Adventure', 'Horror', 'Thriller']","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",ambiguous ending
27,El hombre duplicado,6.9,"['Drama', 'Mystery', 'Thriller']",A man seeks out his exact look-alike after spotting him in a movie.,ambiguous ending
28,Boss Level,6.8,"['Action', 'Mystery', 'Sci-Fi']","Trapped in a time loop that constantly repeats the day of his murder, a former special forces agent must unlock the mystery behind his untimely demise.",ambiguous ending
29,Ex Machina,7.7,"['Drama', 'Sci-Fi', 'Thriller']",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,ambiguous ending
30,Black Swan,8.0,"['Drama', 'Thriller']","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",ambiguous ending
31,Life,6.6,"['Horror', 'Sci-Fi', 'Thriller']",A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,ambiguous ending
32,It Follows,6.8,"['Horror', 'Mystery', 'Thriller']",A young woman is followed by an unknown supernatural force after a sexual encounter.,ambiguous ending
33,The Village,6.5,"['Drama', 'Mystery', 'Thriller']",A series of events tests the beliefs of a small isolated countryside village.,ambiguous ending
34,The Usual Suspects,8.5,"['Crime', 'Drama', 'Mystery']","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",ambiguous ending
35,Salò o le 120 giornate di Sodoma,5.9,"['Drama', 'Horror']","In World War II Italy, four fascist libertines round up nine adolescent boys and girls and subject them to 120 days of physical, mental, and sexual torture.",ambiguous ending
36,Los 8 más odiados,7.8,"['Crime', 'Drama', 'Mystery']","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",ambiguous ending
37,Drive,7.8,"['Crime', 'Drama']","An action drama about a mysterious Hollywood stuntman and mechanic who moonlights as a getaway driver, and finds himself in trouble when he helps out his neighbor.",ambiguous ending
